,position,coverage_p,coverage_m
385218,385218,46.0,3
385219,385219,46.0,3
385220,385220,46.0,3
385221,385221,51.0,3
385222,385222,51.0,3
385223,385223,52.0,3
385224,385224,53.0,3
385225,385225,53.0,3
385226,385226,52.0,3
385227,385227,52.0,3
385228,385228,52.0,3
385229,385229,52.0,3
385230,385230,53.0,3
385231,385231,53.0,2
385232,385232,54.0,2
385233,385233,54.0,2
385234,385234,54.0,2
385235,385235,54.0,2
385236,385236,54.0,2
385237,385237,54.0,3
385238,385238,54.0,3
385239,385239,54.0,3
385240,385240,54.0,3
385241,385241,54.0,3
385242,385242,54.0,3
385243,385243,54.0,3
385244,385244,54.0,3
385245,385245,54.0,3
385246,385246,54.0,3
385247,385247,54.0,3
385248,385248,55.0,3
385249,385249,55.0,3
385250,385250,55.0,3
385251,385251,55.0,3
385252,385252,55.0,3
385253,385253,55.0,3
385254,385254,55.0,3
385255,385255,55.0,3
385256,385256,56.0,3
385257,385257,56.0,3
385258,385258,56.0,3
385259,385259,56.0,3
385260,385260,57.0,3
385261,385261,57.0,3
385262,385262,61.0,4
385263,385263,62.0,4
385264,385264,62.0,4
385265,385265,62.0,4
385266,385266,62.0,4
385267,385267,62.0,4
385268,385268,62.0,4
385269,385269,62.0,4
385270,385270,63.0,4
385271,385271,63.0,4
385272,385272,64.0,4
385273,385273,64.0,4
385274,385274,64.0,4
385275,385275,64.0,4
385276,385276,66.0,4
385277,385277,67.0,4
385278,385278,67.0,4
385279,385279,67.0,4
385280,385280,66.0,4
385281,385281,66.0,4
385282,385282,67.0,4
385283,385283,67.0,4
385284,385284,67.0,4
385285,385285,68.0,4
385286,385286,70.0,6
385287,385287,70.0,6
385288,385288,70.0,6
385289,385289,71.0,6
385290,385290,70.0,6
385291,385291,68.0,7
385292,385292,69.0,7
385293,385293,68.0,7
385294,385294,62.0,7
385295,385295,64.0,8
385296,385296,63.0,8
385297,385297,61.0,8
385298,385298,61.0,8
385299,385299,61.0,8
385300,385300,63.0,8
385301,385301,63.0,8
385302,385302,64.0,8
385303,385303,64.0,8
385304,385304,66.0,9
385305,385305,67.0,9
385306,385306,67.0,9
385307,385307,65.0,8
385308,385308,65.0,8
385309,385309,65.0,9
385310,385310,65.0,9
385311,385311,65.0,9
385312,385312,65.0,9
385313,385313,65.0,9
385314,385314,68.0,10
385315,385315,68.0,10
385316,385316,66.0,10
385317,385317,66.0,10
385318,385318,66.0,10
385319,385319,66.0,10
385320,385320,65.0,10
385321,385321,65.0,10
385322,385322,66.0,10
385323,385323,66.0,10
385324,385324,66.0,10
385325,385325,68.0,10
385326,385326,68.0,10
385327,385327,68.0,10
385328,385328,66.0,10
385329,385329,64.0,10
385330,385330,63.0,10
385331,385331,63.0,10
385332,385332,63.0,10
385333,385333,63.0,10
385334,385334,63.0,10
385335,385335,63.0,10
385336,385336,63.0,10
385337,385337,60.0,10
385338,385338,60.0,10
385339,385339,60.0,10
385340,385340,60.0,10
385341,385341,60.0,10
385342,385342,60.0,10
385343,385343,60.0,10
385344,385344,60.0,10
385345,385345,60.0,10
385346,385346,61.0,10
385347,385347,64.0,10
385348,385348,64.0,10
385349,385349,64.0,10
385350,385350,64.0,10
385351,385351,64.0,10
385352,385352,64.0,10
385353,385353,64.0,9
385354,385354,64.0,9
385355,385355,64.0,9
385356,385356,64.0,9
385357,385357,65.0,9
385358,385358,66.0,9
385359,385359,66.0,9
385360,385360,66.0,11
385361,385361,66.0,11
385362,385362,65.0,11
385363,385363,65.0,11
385364,385364,65.0,11
385365,385365,67.0,11
385366,385366,67.0,11
385367,385367,67.0,11
385368,385368,67.0,11
385369,385369,69.0,11
385370,385370,70.0,11
385371,385371,70.0,11
385372,385372,70.0,11
385373,385373,70.0,11
385374,385374,73.0,11
385375,385375,73.0,11
385376,385376,73.0,11
385377,385377,73.0,11
385378,385378,73.0,11
385379,385379,74.0,11
385380,385380,76.0,11
385381,385381,77.0,11
385382,385382,77.0,11
385383,385383,77.0,11
385384,385384,77.0,11
385385,385385,77.0,11
385386,385386,77.0,11
385387,385387,78.0,11
385388,385388,77.0,11
385389,385389,77.0,11
385390,385390,77.0,11
385391,385391,77.0,10
385392,385392,77.0,10
385393,385393,78.0,10
385394,385394,77.0,10
385395,385395,76.0,10
385396,385396,76.0,10
385397,385397,75.0,10
385398,385398,75.0,10
385399,385399,75.0,10
385400,385400,75.0,10
385401,385401,75.0,10
385402,385402,76.0,10
385403,385403,77.0,10
385404,385404,76.0,10
385405,385405,80.0,10
385406,385406,80.0,10
385407,385407,80.0,10
385408,385408,80.0,10
385409,385409,80.0,10
385410,385410,80.0,10
385411,385411,81.0,10
385412,385412,80.0,10
385413,385413,82.0,10
385414,385414,83.0,10
385415,385415,78.0,9
385416,385416,76.0,9
385417,385417,68.0,9
385418,385418,69.0,9
385419,385419,69.0,9
385420,385420,69.0,9
385421,385421,68.0,9
385422,385422,68.0,9
385423,385423,68.0,9
385424,385424,69.0,10
385425,385425,70.0,10
385426,385426,70.0,10
385427,385427,70.0,10
385428,385428,70.0,10
385429,385429,70.0,10
385430,385430,70.0,10
385431,385431,70.0,10
385432,385432,70.0,10
385433,385433,70.0,10
385434,385434,70.0,10
385435,385435,70.0,10
385436,385436,70.0,9
385437,385437,70.0,9
385438,385438,70.0,8
385439,385439,70.0,10
385440,385440,70.0,10
385441,385441,70.0,10
385442,385442,73.0,12
385443,385443,73.0,12
385444,385444,73.0,12
385445,385445,73.0,12
385446,385446,73.0,12
385447,385447,74.0,12
385448,385448,74.0,12
385449,385449,74.0,12
385450,385450,74.0,12
385451,385451,73.0,12
385452,385452,73.0,12
385453,385453,72.0,11
385454,385454,71.0,11
385455,385455,72.0,10
385456,385456,72.0,14
385457,385457,71.0,14
385458,385458,72.0,15
385459,385459,72.0,15
385460,385460,72.0,16
385461,385461,73.0,16
385462,385462,74.0,16
385463,385463,73.0,16
385464,385464,72.0,16
385465,385465,72.0,16
385466,385466,72.0,16
385467,385467,72.0,16
385468,385468,72.0,16
385469,385469,72.0,16
385470,385470,72.0,16
385471,385471,72.0,16
385472,385472,72.0,15
385473,385473,72.0,15
385474,385474,72.0,14
385475,385475,72.0,14
385476,385476,72.0,14
385477,385477,72.0,14
385478,385478,72.0,14
385479,385479,72.0,14
385480,385480,72.0,14
385481,385481,69.0,14
385482,385482,68.0,14
385483,385483,68.0,14
385484,385484,66.0,14
385485,385485,66.0,14
385486,385486,65.0,14
385487,385487,65.0,14
385488,385488,65.0,14
385489,385489,65.0,14
385490,385490,62.0,14
385491,385491,60.0,14
385492,385492,60.0,14
385493,385493,59.0,14
385494,385494,59.0,14
385495,385495,59.0,14
385496,385496,58.0,14
385497,385497,56.0,14
385498,385498,55.0,14
385499,385499,54.0,14
385500,385500,54.0,14
385501,385501,54.0,14
385502,385502,51.0,14
385503,385503,51.0,14
385504,385504,51.0,14
385505,385505,52.0,14
385506,385506,53.0,14
385507,385507,54.0,14
385508,385508,55.0,14
385509,385509,55.0,14
385510,385510,55.0,14
385511,385511,55.0,14
385512,385512,55.0,14
385513,385513,55.0,14
385514,385514,55.0,14
385515,385515,55.0,14
385516,385516,56.0,13
385517,385517,56.0,13
385518,385518,53.0,13
385519,385519,51.0,13
385520,385520,52.0,13
385521,385521,51.0,12
385522,385522,51.0,12
385523,385523,50.0,11
385524,385524,50.0,11
385525,385525,50.0,11
385526,385526,51.0,11
385527,385527,51.0,9
385528,385528,51.0,9
385529,385529,53.0,9
385530,385530,54.0,9
385531,385531,54.0,9
385532,385532,54.0,9
385533,385533,54.0,9
385534,385534,54.0,8
385535,385535,54.0,8
385536,385536,54.0,8
385537,385537,53.0,8
385538,385538,53.0,8
385539,385539,53.0,8
385540,385540,48.0,7
385541,385541,49.0,6
385542,385542,42.0,6
385543,385543,41.0,6
385544,385544,40.0,6
385545,385545,37.0,6
385546,385546,36.0,6
385547,385547,39.0,7
385548,385548,38.0,7
385549,385549,38.0,7
385550,385550,38.0,7
385551,385551,38.0,6
385552,385552,38.0,6
385553,385553,31.0,6
385554,385554,32.0,6
385555,385555,31.0,6
385556,385556,31.0,6
385557,385557,31.0,6
385558,385558,31.0,6
385559,385559,31.0,6
385560,385560,31.0,6
385561,385561,31.0,6
385562,385562,31.0,6
385563,385563,32.0,6
385564,385564,32.0,6
385565,385565,33.0,6
385566,385566,33.0,4
385567,385567,33.0,4
385568,385568,33.0,4
385569,385569,33.0,4
385570,385570,33.0,4
385571,385571,33.0,4
385572,385572,33.0,4
385573,385573,33.0,4
385574,385574,33.0,4
385575,385575,33.0,4
385576,385576,33.0,4
385577,385577,33.0,4
385578,385578,33.0,4
385579,385579,33.0,4
385580,385580,33.0,4
385581,385581,33.0,4
385582,385582,33.0,4
385583,385583,33.0,4
385584,385584,33.0,4
385585,385585,33.0,4
385586,385586,33.0,4
385587,385587,33.0,4
385588,385588,33.0,4
385589,385589,34.0,4
385590,385590,34.0,4
385591,385591,37.0,3
385592,385592,37.0,4
385593,385593,37.0,4
385594,385594,37.0,4
385595,385595,38.0,7
385596,385596,39.0,7
385597,385597,39.0,7
385598,385598,39.0,8
385599,385599,41.0,8
385600,385600,41.0,8
385601,385601,41.0,8
385602,385602,41.0,8
385603,385603,41.0,8
385604,385604,41.0,8
385605,385605,41.0,8
385606,385606,41.0,8
385607,385607,41.0,8
385608,385608,41.0,8
385609,385609,43.0,8
385610,385610,43.0,8
385611,385611,43.0,8
385612,385612,43.0,8
385613,385613,42.0,8
385614,385614,43.0,8
385615,385615,44.0,8
385616,385616,43.0,8
385617,385617,43.0,8
385618,385618,43.0,8
385619,385619,43.0,8
385620,385620,43.0,9
385621,385621,43.0,9
385622,385622,43.0,9
385623,385623,43.0,9
385624,385624,42.0,9
385625,385625,42.0,9
385626,385626,42.0,9
385627,385627,43.0,9
385628,385628,43.0,9
385629,385629,43.0,9
385630,385630,44.0,9
385631,385631,44.0,9
385632,385632,44.0,9
385633,385633,44.0,9
385634,385634,43.0,8
385635,385635,43.0,7
385636,385636,40.0,7
385637,385637,40.0,7
385638,385638,39.0,7
385639,385639,37.0,7
385640,385640,37.0,7
385641,385641,37.0,7
385642,385642,37.0,7
385643,385643,37.0,7
385644,385644,37.0,7
385645,385645,37.0,7
385646,385646,37.0,7
385647,385647,38.0,7
385648,385648,38.0,7
385649,385649,38.0,7
385650,385650,40.0,7
385651,385651,40.0,7
385652,385652,40.0,7
385653,385653,39.0,7
385654,385654,39.0,7
385655,385655,39.0,7
385656,385656,39.0,7
385657,385657,39.0,7
385658,385658,40.0,7
385659,385659,40.0,7
385660,385660,40.0,7
385661,385661,40.0,7
385662,385662,40.0,7
385663,385663,41.0,7
385664,385664,41.0,7
385665,385665,41.0,7
385666,385666,39.0,7
385667,385667,39.0,7
385668,385668,39.0,7
385669,385669,39.0,7
385670,385670,39.0,7
385671,385671,39.0,6
385672,385672,39.0,6
385673,385673,39.0,6
385674,385674,39.0,6
385675,385675,40.0,6
385676,385676,39.0,4
385677,385677,39.0,4
385678,385678,38.0,4
385679,385679,39.0,5
385680,385680,38.0,4
385681,385681,37.0,4
385682,385682,37.0,4
385683,385683,37.0,4
385684,385684,37.0,4
385685,385685,37.0,4
385686,385686,37.0,3
385687,385687,37.0,2
385688,385688,37.0,2
385689,385689,37.0,2
385690,385690,37.0,2
385691,385691,35.0,1
385692,385692,35.0,1
385693,385693,36.0,1
385694,385694,36.0,1
385695,385695,36.0,1
385696,385696,36.0,1
385697,385697,36.0,1
385698,385698,36.0,1
385699,385699,36.0,1
385700,385700,36.0,1
385701,385701,36.0,1
385702,385702,36.0,1
385703,385703,36.0,1
385704,385704,36.0,1
385705,385705,37.0,1
385706,385706,37.0,1
385707,385707,37.0,1
385708,385708,37.0,1
385709,385709,37.0,1
385710,385710,37.0,1
385711,385711,38.0,1
385712,385712,38.0,1
385713,385713,38.0,1
385714,385714,38.0,1
385715,385715,40.0,1
385716,385716,40.0,1
385717,385717,40.0,1
385718,385718,40.0,1
385719,385719,40.0,1
385720,385720,40.0,1
385721,385721,41.0,1
385722,385722,41.0,1
385723,385723,40.0,1
385724,385724,40.0,1
385725,385725,40.0,1
385726,385726,40.0,1
385727,385727,40.0,1
385728,385728,41.0,1
385729,385729,41.0,1
385730,385730,42.0,1
385731,385731,42.0,1
385732,385732,42.0,1
385733,385733,42.0,1
385734,385734,42.0,1
385735,385735,42.0,1
385736,385736,42.0,1
385737,385737,42.0,1
385738,385738,42.0,1
385739,385739,42.0,1
385740,385740,42.0,1
385741,385741,39.0,1
385742,385742,38.0,1
385743,385743,38.0,1
385744,385744,28.0,1
385745,385745,23.0,1
385746,385746,23.0,1
385747,385747,22.0,1
385748,385748,21.0,1
385749,385749,21.0,1
385750,385750,21.0,1
385751,385751,21.0,1
385752,385752,22.0,1
385753,385753,22.0,1
385754,385754,22.0,1
385755,385755,22.0,1
385756,385756,22.0,1
385757,385757,22.0,1
385758,385758,22.0,1
385759,385759,22.0,1
385760,385760,22.0,1
385761,385761,22.0,1
385762,385762,23.0,1
385763,385763,23.0,1
385764,385764,26.0,1
385765,385765,26.0,1
385766,385766,26.0,1
385767,385767,26.0,1
385768,385768,26.0,1
385769,385769,26.0,1
385770,385770,26.0,1
385771,385771,27.0,1
385772,385772,27.0,1
385773,385773,27.0,1
385774,385774,27.0,1
385775,385775,27.0,1
385776,385776,30.0,1
385777,385777,77.0,1
385778,385778,100.0,1
385779,385779,118.0,1
385780,385780,221.0,1
385781,385781,244.0,1
385782,385782,286.0,1
385783,385783,295.0,1
385784,385784,303.0,1
385785,385785,306.0,1
385786,385786,307.0,1
385787,385787,307.0,1
385788,385788,351.0,1
385789,385789,411.0,1
385790,385790,418.0,1
385791,385791,432.0,1
385792,385792,440.0,1
385793,385793,523.0,1
385794,385794,591.0,1
385795,385795,613.0,1
385796,385796,613.0,1
385797,385797,625.0,1
385798,385798,658.0,1
385799,385799,660.0,1
385800,385800,661.0,1
385801,385801,661.0,1
385802,385802,663.0,1
385803,385803,663.0,1
385804,385804,663.0,1
385805,385805,693.0,1
385806,385806,697.0,1
385807,385807,697.0,1
385808,385808,698.0,1
385809,385809,698.0,1
385810,385810,698.0,1
385811,385811,698.0,1
385812,385812,700.0,1
385813,385813,706.0,1
385814,385814,708.0,1
385815,385815,727.0,1
385816,385816,731.0,1
385817,385817,735.0,2
385818,385818,738.0,2
385819,385819,743.0,2
385820,385820,753.0,2
385821,385821,755.0,2
385822,385822,808.0,2
385823,385823,809.0,2
385824,385824,968.0,2
385825,385825,973.0,2
385826,385826,975.0,2
385827,385827,978.0,2
385828,385828,982.0,2
385829,385829,986.0,2
385830,385830,986.0,2
385831,385831,1006.0,2
385832,385832,1009.0,2
385833,385833,1011.0,2
385834,385834,1014.0,2
385835,385835,1016.0,2
385836,385836,1016.0,2
385837,385837,1016.0,2
385838,385838,1021.0,2
385839,385839,1022.0,2
385840,385840,1024.0,2
385841,385841,1040.0,2
385842,385842,1041.0,3
385843,385843,1051.0,3
385844,385844,1050.0,3
385845,385845,1058.0,3
385846,385846,1061.0,3
385847,385847,1070.0,3
385848,385848,1072.0,3
385849,385849,1072.0,3
385850,385850,1074.0,3
385851,385851,1077.0,3
385852,385852,1078.0,3
385853,385853,1087.0,3
385854,385854,1122.0,3
385855,385855,1127.0,3
385856,385856,1128.0,3
385857,385857,1132.0,3
385858,385858,1138.0,3
385859,385859,1152.0,3
385860,385860,1154.0,3
385861,385861,1175.0,3
385862,385862,1176.0,3
385863,385863,1189.0,3
385864,385864,1195.0,3
385865,385865,1243.0,3
385866,385866,1248.0,3
385867,385867,1250.0,3
385868,385868,1250.0,3
385869,385869,1250.0,3
385870,385870,1261.0,3
385871,385871,1261.0,3
385872,385872,1262.0,3
385873,385873,1262.0,3
385874,385874,1263.0,3
385875,385875,1274.0,3
385876,385876,1273.0,3
385877,385877,1274.0,3
385878,385878,1286.0,3
385879,385879,1289.0,3
385880,385880,1333.0,3
385881,385881,1334.0,3
385882,385882,1331.0,3
385883,385883,1349.0,3
385884,385884,1354.0,3
385885,385885,1356.0,3
385886,385886,1365.0,3
385887,385887,1366.0,3
385888,385888,1365.0,3
385889,385889,1384.0,3
385890,385890,1359.0,3
385891,385891,1420.0,3
385892,385892,1432.0,3
385893,385893,1432.0,3
385894,385894,1441.0,3
385895,385895,1442.0,3
385896,385896,1442.0,3
385897,385897,1442.0,3
385898,385898,1442.0,3
385899,385899,1441.0,2
385900,385900,1440.0,2
385901,385901,1440.0,2
385902,385902,1451.0,2
385903,385903,1452.0,2
385904,385904,1459.0,2
385905,385905,1461.0,2
385906,385906,1461.0,2
385907,385907,1462.0,2
385908,385908,1496.0,2
385909,385909,1492.0,2
385910,385910,1498.0,2
385911,385911,1497.0,2
385912,385912,1466.0,2
385913,385913,1460.0,2
385914,385914,1442.0,2
385915,385915,1429.0,3
385916,385916,1423.0,3
385917,385917,1390.0,3
385918,385918,1376.0,3
385919,385919,1305.0,3
385920,385920,1281.0,3
385921,385921,1272.0,3
385922,385922,1276.0,3
385923,385923,1280.0,3
385924,385924,1279.0,3
385925,385925,1279.0,3
385926,385926,1277.0,3
385927,385927,1300.0,3
385928,385928,1306.0,3
385929,385929,1306.0,3
385930,385930,1303.0,3
385931,385931,1303.0,3
385932,385932,1308.0,3
385933,385933,1313.0,3
385934,385934,1314.0,3
385935,385935,1318.0,3
385936,385936,1317.0,3
385937,385937,1320.0,3
385938,385938,1324.0,3
385939,385939,1325.0,3
385940,385940,1340.0,3
385941,385941,1340.0,3
385942,385942,1340.0,3
385943,385943,1350.0,3
385944,385944,1347.0,3
385945,385945,1346.0,3
385946,385946,1347.0,3
385947,385947,1345.0,2
385948,385948,1353.0,2
385949,385949,1348.0,2
385950,385950,1349.0,2
385951,385951,1348.0,2
385952,385952,1347.0,2
385953,385953,1346.0,2
385954,385954,1345.0,2
385955,385955,1349.0,2
385956,385956,1348.0,2
385957,385957,1352.0,2
385958,385958,1351.0,2
385959,385959,1329.0,2
385960,385960,1284.0,2
385961,385961,1285.0,2
385962,385962,1282.0,2
385963,385963,1286.0,2
385964,385964,1290.0,2
385965,385965,1289.0,2
385966,385966,1289.0,2
385967,385967,1292.0,2
385968,385968,1293.0,2
385969,385969,1293.0,2
385970,385970,1291.0,2
385971,385971,1289.0,2
385972,385972,1286.0,2
385973,385973,1282.0,2
385974,385974,1282.0,2
385975,385975,1272.0,2
385976,385976,1271.0,2
385977,385977,1268.0,2
385978,385978,1284.0,2
385979,385979,1284.0,2
385980,385980,1284.0,2
385981,385981,1286.0,2
385982,385982,1320.0,2
385983,385983,1324.0,2
385984,385984,1326.0,2
385985,385985,1337.0,2
385986,385986,1329.0,2
385987,385987,1305.0,2
385988,385988,1304.0,2
385989,385989,1305.0,2
385990,385990,1305.0,2
385991,385991,1321.0,2
385992,385992,1322.0,2
385993,385993,1316.0,2
385994,385994,1287.0,2
385995,385995,1239.0,2
385996,385996,1156.0,2
385997,385997,913.0,1
385998,385998,911.0,1
385999,385999,850.0,1
386000,386000,843.0,1
386001,386001,844.0,1
386002,386002,846.0,1
386003,386003,848.0,1
386004,386004,842.0,1
386005,386005,843.0,1
386006,386006,833.0,1
386007,386007,843.0,1
386008,386008,837.0,1
386009,386009,831.0,1
386010,386010,796.0,1
386011,386011,777.0,1
386012,386012,759.0,1
386013,386013,702.0,1
386014,386014,650.0,1
386015,386015,647.0,1
386016,386016,634.0,1
386017,386017,640.0,1
386018,386018,637.0,1
386019,386019,575.0,1
386020,386020,572.0,1
386021,386021,557.0,1
386022,386022,523.0,1
386023,386023,512.0,1
386024,386024,504.0,1
386025,386025,503.0,1
386026,386026,501.0,1
386027,386027,501.0,1
386028,386028,501.0,1
386029,386029,504.0,1
386030,386030,503.0,1
386031,386031,544.0,1
386032,386032,545.0,1
386033,386033,545.0,1
386034,386034,543.0,1
386035,386035,539.0,1
386036,386036,540.0,1
386037,386037,542.0,1
386038,386038,542.0,1
386039,386039,543.0,1
386040,386040,544.0,1
386041,386041,547.0,1
386042,386042,560.0,1
386043,386043,562.0,1
386044,386044,562.0,1
386045,386045,564.0,1
386046,386046,568.0,1
386047,386047,569.0,1
386048,386048,572.0,1
386049,386049,572.0,1
386050,386050,575.0,1
386051,386051,576.0,1
386052,386052,580.0,1
386053,386053,579.0,1
386054,386054,579.0,1
386055,386055,581.0,1
386056,386056,581.0,1
386057,386057,583.0,1
386058,386058,583.0,1
386059,386059,599.0,1
386060,386060,601.0,1
386061,386061,626.0,1
386062,386062,630.0,1
386063,386063,631.0,1
386064,386064,631.0,1
386065,386065,630.0,1
386066,386066,630.0,1
386067,386067,648.0,1
386068,386068,634.0,1
386069,386069,632.0,1
386070,386070,632.0,1
386071,386071,632.0,1
386072,386072,632.0,1
386073,386073,633.0,1
386074,386074,634.0,1
386075,386075,643.0,1
386076,386076,643.0,1
386077,386077,643.0,1
386078,386078,643.0,1
386079,386079,643.0,1
386080,386080,646.0,1
386081,386081,648.0,1
386082,386082,622.0,1
386083,386083,618.0,1
386084,386084,612.0,1
386085,386085,611.0,1
386086,386086,615.0,1
386087,386087,616.0,1
386088,386088,619.0,1
386089,386089,618.0,1
386090,386090,606.0,1
386091,386091,611.0,1
386092,386092,601.0,1
386093,386093,592.0,1
386094,386094,595.0,1
386095,386095,595.0,1
386096,386096,594.0,0
386097,386097,598.0,0
386098,386098,607.0,0
386099,386099,607.0,0
386100,386100,607.0,0
386101,386101,608.0,0
386102,386102,610.0,0
386103,386103,596.0,0
386104,386104,607.0,0
386105,386105,606.0,0
386106,386106,606.0,0
386107,386107,607.0,0
386108,386108,613.0,0
386109,386109,610.0,0
386110,386110,610.0,0
386111,386111,610.0,0
386112,386112,611.0,0
386113,386113,616.0,0
386114,386114,615.0,0
386115,386115,597.0,0
386116,386116,597.0,0
386117,386117,597.0,0
386118,386118,597.0,1
386119,386119,584.0,2
386120,386120,581.0,2
386121,386121,578.0,2
386122,386122,575.0,2
386123,386123,567.0,2
386124,386124,565.0,2
386125,386125,564.0,2
386126,386126,564.0,2
386127,386127,565.0,2
386128,386128,565.0,2
386129,386129,576.0,2
386130,386130,579.0,2
386131,386131,579.0,2
386132,386132,579.0,2
386133,386133,581.0,2
386134,386134,583.0,2
386135,386135,584.0,2
386136,386136,583.0,2
386137,386137,585.0,2
386138,386138,587.0,2
386139,386139,590.0,2
386140,386140,608.0,2
386141,386141,607.0,2
386142,386142,607.0,2
386143,386143,607.0,2
386144,386144,612.0,2
386145,386145,606.0,2
386146,386146,605.0,2
386147,386147,606.0,2
386148,386148,606.0,2
386149,386149,596.0,2
